,SERIAL,JOURV7,DEVICE,SEXE,AGE2,DEP,REG12,AGGLO5,EMP,PCSI,MAR,A0_0,A0_1,A0_2,A1,A2,A2BIS,A3_0,A3_1,A3BIS,A4,A5Q,A6_0,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_8,A6_9,A6_10,B1Q,B2_0,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B3Q,B5Q,B5AQ,B5BQ,B5CQ,B6Q_0,B6Q_1,B6Q_2,C1C2,C3,C4_0,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C51,C52,C53,C54,C6_0,C6_1,C6_2,C6_3,C7,C7DEP,C7REG12,C8Q,C9QA,C9QB,C9QC,C10,C11,D60A,D60,D61,D62_0,D62_1,D62_2,D63,ALEAD65,D65,D66,ALEAD70,D70,D71,D67,D68_0,D68_1,D68_2,D68_3,D68_4,D68_5,D68_6,D68_7,D68_8,D69_0,D69_1,D69_2,D69_3,D69_4,D69_5,D69_6,D69_7
2844,2845,2,2,2,3,78,1,5,6,8,3,8,7,4,2,,3.0,3,,2,2,,2,1,2,2,2,2,2,2,2,2,2,10,1,1,1,1,1,1,1,1,1,180,0,,,,2,0,0,2,1.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,78.0,1,4.0,3,1,0,6,4.0,2,2,1,2,3,2,1,1,3.0,,2,,2.0,2,2,2,2,3,1,1,1,2,2,1,2,1,2,2,1,4,1
2845,2846,2,3,2,10,69,11,4,7,7,3,3,1,5,2,,1.0,3,,2,2,,3,2,2,2,2,2,2,2,2,2,2,7,1,1,1,1,1,1,1,2,2,360,0,,,,0,2,0,2,2.0,2,2,2,2,2,2,2,2,3,2,2,2,,,,,1,69.0,11,5.0,2,0,0,6,6.0,4,1,1,2,2,2,1,2,,2.0,2,,2.0,1,2,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,3
2846,2847,2,2,2,2,63,11,2,2,5,2,2,6,1,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,1,2,4,2,1,2,2,4,600,1,27.0,,,1,0,7,4,2.0,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,63.0,11,3.0,3,1,0,6,2.0,6,2,1,1,1,1,1,2,,3.0,1,5.0,,2,1,2,3,3,3,3,3,1,3,5,5,5,2,5,2,1,5
2847,2848,2,2,2,6,78,1,5,6,8,3,3,7,8,1,2.0,,3,,2,2,,2,2,2,2,2,2,2,2,2,1,2,7,1,3,1,1,2,1,2,2,3,120,5,,46.0,70.0,3,2,0,3,2.0,2,2,2,2,2,2,3,2,3,3,4,4,,,,,1,78.0,1,4.0,4,1,0,6,5.0,3,2,2,2,3,3,2,2,,3.0,2,,1.0,1,1,1,2,2,2,2,2,2,2,4,5,2,5,2,2,5,2
2848,2849,2,1,2,7,13,12,2,6,8,3,10,9,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,5,1,1,2,4,1,1,1,2,3,65,3,,,,0,0,0,3,2.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,13.0,12,6.0,2,0,0,3,,4,1,1,2,2,2,2,2,,3.0,2,,4.0,2,4,4,4,4,4,4,3,4,4,1,1,1,1,1,1,1,1
2849,2850,2,2,1,6,34,10,2,1,4,3,7,4,3,2,,2.0,3,,1,2,,2,2,2,2,2,3,2,2,2,2,2,7,1,1,1,6,1,1,2,4,3,300,4,,75.0,45.0,7,2,4,3,,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,34.0,10,5.0,3,1,0,5,1.0,2,2,1,2,3,2,1,2,,3.0,1,1.0,,2,2,2,2,3,2,3,2,3,4,4,2,4,2,4,2,4,4
2850,2851,2,1,2,9,34,10,4,7,7,3,1,6,4,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,2,1,1,1,1,1,1,2,1,120,2,,61.0,36.0,0,0,0,5,2.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,34.0,10,5.0,2,0,0,4,,6,2,1,1,1,2,2,2,,3.0,2,,3.0,2,2,3,3,3,4,3,3,2,4,1,1,2,2,1,1,2,1
2851,2852,2,1,1,10,78,1,5,7,7,3,8,7,5,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,1,1,2,1,1,6,2,2,150,10,,,,0,2,0,3,,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,78.0,1,4.0,2,0,2,3,,2,1,1,2,4,3,2,2,,3.0,1,2.0,,1,2,2,2,3,2,2,2,2,2,2,3,1,3,3,2,3,1
2852,2853,2,3,2,9,22,8,1,7,7,6,1,3,10,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,5,1,2,1,2,1,1,1,2,2,70,10,,70.0,70.0,0,1,0,5,2.0,2,2,2,2,2,1,2,2,3,3,3,4,,,,,1,22.0,8,5.0,1,0,0,4,,4,2,1,2,3,2,2,1,3.0,,1,4.0,,2,2,3,2,2,2,2,2,2,3,3,4,2,3,1,2,3,2
2853,2854,2,3,2,5,83,12,3,1,5,3,6,3,5,2,,2.0,3,,2,2,,1,2,1,2,1,2,2,2,1,2,2,5,2,2,1,1,2,2,3,6,1,600,40,,60.0,60.0,0,0,5,4,2.0,2,2,2,2,2,2,1,2,4,4,4,4,1.0,,,,1,83.0,12,6.0,5,1,0,4,,3,1,2,2,3,2,2,2,,3.0,1,4.0,,2,2,2,2,2,2,2,2,1,2,5,5,5,5,5,3,3,5
2854,2855,2,1,2,9,42,11,4,6,8,3,1,8,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,4,1,2,1,2,3,1,1,3,2,0,1,60.0,,,1,1,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,42.0,11,6.0,4,0,0,3,,6,2,1,2,3,2,2,1,3.0,,1,5.0,,2,2,3,2,3,3,3,3,3,3,3,2,1,2,1,1,5,3
2855,2856,2,2,1,2,33,9,4,1,5,1,5,1,10,2,,2.0,3,,2,2,,3,2,3,2,2,2,2,2,2,3,2,9,1,2,2,1,2,1,2,3,1,120,3,,,,2,1,7,3,,2,2,2,2,2,2,2,2,4,3,3,4,1.0,,,,1,33.0,9,2.0,1,0,0,3,,4,1,1,2,2,1,2,2,,3.0,2,,4.0,2,2,3,2,4,3,3,2,3,3,4,3,3,2,3,2,2,5
2856,2857,2,2,1,4,29,8,1,1,6,3,3,7,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,3,2,1,2,3,1,1,5,3,600,30,,30.0,37.0,1,0,7,3,,2,2,3,2,2,2,2,2,4,3,4,4,1.0,,,,1,29.0,8,10.0,5,3,0,4,,6,1,1,3,2,2,2,1,3.0,,2,,3.0,2,1,4,2,3,2,3,2,2,2,4,4,2,2,1,2,4,4
2857,2858,2,1,1,7,39,3,2,4,3,4,5,2,4,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,4,3,5,3,1,2,2,4,60,3,,45.0,20.0,0,3,0,2,,2,2,2,2,2,2,2,2,4,4,4,4,4.0,,,,1,39.0,3,4.0,2,0,0,6,5.0,1,1,1,1,4,3,2,1,3.0,,2,,4.0,1,1,1,1,2,1,1,1,1,1,4,5,3,5,3,3,5,4
2858,2859,2,3,1,9,66,10,2,2,6,7,2,5,1,2,,4.0,1,,2,2,,2,2,2,2,1,2,2,2,2,2,2,10,1,4,4,4,2,1,1,2,1,120,0,,,,0,0,0,2,,2,2,2,2,2,2,1,1,4,4,4,3,5.0,,,,1,66.0,10,1.0,2,0,0,3,,3,1,1,2,2,2,1,2,,2.0,2,,1.0,2,2,2,2,3,2,3,2,3,3,3,2,2,1,2,2,2,2
2859,2860,2,3,1,7,91,1,5,1,5,3,3,5,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,3,1,3,2,1,1,2,3,60,1,,,,0,0,0,2,,2,2,2,2,2,2,2,2,4,2,2,4,3.0,,,,1,91.0,1,3.0,3,1,0,3,,3,1,1,2,3,2,2,2,,3.0,1,4.0,,2,2,3,3,3,3,3,2,4,3,2,4,2,2,1,2,5,5
2860,2861,2,2,2,10,83,12,2,7,7,3,2,3,1,2,,2.0,3,,2,2,,2,3,2,2,3,2,2,2,2,2,2,2,1,2,1,1,1,1,1,3,1,30,2,,46.0,16.0,0,1,0,2,2.0,2,2,1,2,2,2,2,2,4,4,4,4,,,,,1,83.0,12,5.0,2,0,2,3,,6,1,1,1,4,4,2,2,,3.0,2,,2.0,1,1,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1
2861,2862,2,1,2,10,59,5,3,7,7,5,1,8,3,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,2,4,2,2,1,1,2,2,60,5,,,,0,2,0,5,2.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,59.0,5,3.0,1,0,0,5,3.0,2,1,2,2,3,3,1,2,,3.0,1,4.0,,2,2,2,2,2,2,2,2,2,2,3,4,4,2,4,2,3,3
2862,2863,2,1,1,7,27,4,2,1,5,1,2,10,1,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,4,2,2,2,1,1,4,2,660,100,,70.0,40.0,0,1,5,4,,1,2,2,2,2,1,2,2,4,4,4,4,1.0,,,,1,27.0,4,3.0,1,0,0,3,,4,1,1,1,3,3,2,1,3.0,,1,4.0,,1,2,3,2,3,3,3,3,3,4,1,2,5,1,1,2,1,4
2863,2864,2,1,2,10,32,10,2,7,7,6,6,5,4,2,,2.0,4,,2,2,,2,2,2,2,2,1,2,2,2,2,2,5,1,2,1,2,2,1,2,2,5,180,5,,,,0,4,0,4,2.0,1,2,2,2,2,2,2,2,3,3,1,3,,,,,1,32.0,10,4.0,4,3,0,4,,6,2,1,2,2,3,2,1,3.0,,1,4.0,,2,2,2,2,2,3,2,2,2,3,2,3,3,1,2,2,5,5
2864,2865,2,1,1,5,44,7,2,1,4,3,5,2,1,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,2,1,1,1,2,2,480,0,,,,0,0,1,2,,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,44.0,7,7.0,4,2,0,6,1.0,5,2,1,3,2,1,1,2,,3.0,1,4.0,,2,2,4,4,4,4,4,4,4,4,2,2,2,1,1,1,1,4
2865,2866,2,2,1,5,40,9,1,1,4,5,11,11,11,2,,2.0,4,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,2,1,1,2,2,2,3,2,600,10,,30.0,35.0,1,1,5,2,,2,2,2,2,2,2,2,2,3,4,4,4,1.0,,,,1,40.0,9,5.0,1,0,0,5,5.0,3,1,1,2,3,2,2,1,3.0,,1,3.0,,1,2,2,2,2,2,2,2,2,2,4,4,2,4,5,3,5,4
2866,2867,2,1,1,7,82,10,2,1,6,3,2,1,5,2,,4.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,5,1,1,1,2,1,1,6,2,1,120,8,,,,0,0,0,4,,1,1,2,2,2,1,2,2,3,2,2,2,4.0,,,,1,82.0,10,5.0,2,0,0,4,,6,1,1,2,3,2,1,1,2.0,,1,4.0,,2,2,2,2,3,2,3,2,3,2,3,1,1,1,5,1,3,3
2867,2868,2,1,2,8,45,2,1,7,7,3,8,9,10,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,2,2,1,3,2,1,1,2,1,240,2,,,60.0,2,0,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,45.0,2,8.0,2,0,0,4,,6,2,1,2,2,2,1,2,,3.0,2,,5.0,2,1,2,2,2,2,3,2,2,2,3,2,2,2,2,3,5,2
2868,2869,2,2,1,3,95,1,5,1,4,2,3,9,11,1,3.0,,1,,2,2,,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,2,3,2,4,4,3,720,10,,35.0,,2,2,4,2,,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,95.0,1,3.0,2,0,0,4,,2,1,1,3,2,1,2,1,3.0,,2,,1.0,2,1,2,1,1,1,1,1,1,1,4,1,4,4,4,4,5,5
2869,2870,2,1,1,7,59,5,4,3,3,1,4,2,3,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,1,1,1,1,1,1,1,60,1,74.0,,,1,1,0,4,,1,2,2,2,2,2,2,2,4,4,4,4,2.0,,,,1,59.0,5,3.0,1,0,0,4,,2,2,1,1,3,3,2,2,,3.0,1,5.0,,2,3,3,3,3,3,3,3,4,3,1,1,1,1,1,1,2,1
2870,2871,2,1,1,3,86,9,4,8,8,1,1,7,4,2,,2.0,3,,2,2,,1,2,2,2,2,2,2,2,2,2,2,8,1,1,1,1,2,1,2,1,1,585,6,,28.0,75.0,12,4,0,2,,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,86.0,9,6.0,2,0,0,5,2.0,2,1,1,2,2,3,2,2,,3.0,2,,2.0,2,2,2,2,3,2,2,3,2,3,3,4,3,2,3,2,4,3
2871,2872,2,1,1,10,38,11,3,7,7,3,1,9,10,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,1,1,1,1,1,1,225,20,,,,0,1,0,2,,2,2,2,2,2,2,2,2,3,2,1,3,,,,,1,38.0,11,5.0,2,0,2,4,,6,2,2,1,4,2,1,1,3.0,,2,,4.0,2,1,3,1,3,2,3,2,3,3,1,1,1,1,1,1,1,1
2872,2873,2,1,2,10,13,12,4,7,7,6,7,9,5,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,5,3,4,4,3,3,4,6,2,3,150,1,65.0,,,2,1,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,13.0,12,4.0,1,0,0,3,,6,2,1,2,3,2,1,1,3.0,,1,3.0,,2,2,2,2,3,3,3,2,2,3,3,4,4,3,3,3,3,2
2873,2874,2,1,1,7,38,11,1,1,6,3,8,6,7,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,3,2,5,5,5,5,5,5,4,1020,15,,,,0,5,5,2,,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,38.0,11,6.0,4,2,0,3,,6,1,2,2,3,2,2,2,,3.0,1,4.0,,2,2,3,2,2,3,3,3,2,3,5,4,5,4,4,5,5,5
2874,2875,2,2,2,3,77,1,1,1,3,2,6,5,3,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,1,1,1,1,1,1,3,2,720,0,,,,0,1,5,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,77.0,1,5.0,2,0,0,6,2.0,4,1,1,2,3,3,1,1,3.0,,1,5.0,,2,2,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2,2
2875,2876,2,2,2,1,77,1,5,1,2,7,1,3,4,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,1,1,1,1,1,2,0,0,,,,1,7,0,4,2.0,2,2,1,2,2,2,2,2,2,2,3,2,3.0,5.0,,,1,77.0,1,4.0,5,1,0,6,3.0,6,1,1,2,3,2,1,2,,3.0,2,,5.0,2,2,3,2,3,3,3,3,2,3,3,3,3,3,2,4,4,3
2876,2877,2,1,2,5,54,6,2,1,4,3,8,1,6,2,,2.0,3,,2,2,,1,2,1,1,2,2,2,2,2,2,2,5,2,2,2,1,2,1,2,3,2,720,3,,,,1,0,3,2,2.0,2,2,2,2,2,2,2,2,1,1,2,3,1.0,3.0,,,1,54.0,6,6.0,2,0,0,6,1.0,3,1,1,2,2,2,1,1,3.0,,2,,5.0,2,3,3,3,3,3,3,3,3,3,1,2,2,1,2,2,2,3
2877,2878,2,1,1,10,95,1,5,7,7,3,1,3,5,2,,2.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,3,1,1,2,2,3,210,4,,40.0,74.0,1,3,0,2,,2,2,2,2,2,2,2,2,3,4,4,3,,,,,1,95.0,1,3.0,2,0,2,2,,2,1,2,2,3,2,2,1,3.0,,2,,2.0,2,2,3,3,3,3,3,2,3,3,4,2,4,3,3,3,2,5
2878,2879,2,1,1,4,34,10,2,1,4,2,8,4,7,2,,2.0,2,,2,3,,1,2,1,2,2,2,2,2,1,2,2,5,1,1,1,1,2,1,2,3,2,900,5,,35.0,35.0,0,1,5,5,,2,2,2,2,2,2,2,2,4,3,4,4,1.0,2.0,,,1,34.0,10,5.0,4,2,0,6,4.0,1,1,1,2,3,2,1,2,,3.0,2,,2.0,1,1,2,2,2,2,2,2,2,2,3,3,2,1,4,4,5,5
2879,2880,2,1,2,10,57,6,2,7,7,3,1,6,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,1,2,1,1,1,2,2,0,1,,,,0,1,0,3,2.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,57.0,6,6.0,2,0,2,4,,2,2,1,1,3,3,1,1,3.0,,1,4.0,,2,2,2,2,4,3,3,2,3,3,2,2,2,2,1,2,3,3
2880,2881,2,2,1,5,38,11,4,1,5,3,3,7,1,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,2,1,2,1,2,2,2,60,0,,,,1,0,2,1,,2,2,2,2,2,2,2,2,3,4,4,3,5.0,,,,1,38.0,11,3.0,4,2,0,5,5.0,2,1,1,1,4,2,1,1,3.0,,1,5.0,,2,1,3,3,3,3,3,3,3,3,2,2,2,1,1,2,2,1
2881,2882,2,1,1,3,31,10,4,1,5,1,9,5,8,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,4,4,3,4,4,4,3,4,3,900,5,,45.0,50.0,2,1,5,2,,2,2,2,2,2,2,2,2,3,3,3,3,1.0,,,,1,31.0,10,2.0,1,0,0,6,2.0,3,1,1,2,2,2,1,2,,3.0,2,,3.0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
2882,2883,2,1,1,5,74,11,4,1,4,7,3,4,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,1,1,1,2,2,1,2,1,540,10,,1.0,45.0,4,0,5,2,,2,2,2,2,2,2,2,2,4,4,4,3,1.0,,,,1,74.0,11,3.0,2,2,0,6,5.0,2,1,1,2,3,2,2,1,3.0,,1,2.0,,1,2,2,2,2,2,2,2,2,2,3,4,3,3,3,4,5,1
2883,2884,2,2,2,10,85,7,3,7,7,3,8,3,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,1,1,2,1,1,1,4,2,390,30,,,,10,0,0,2,2.0,2,1,2,2,2,2,1,1,4,4,4,4,,,,,1,85.0,7,11.0,2,0,2,5,4.0,4,2,1,2,3,2,2,2,,3.0,2,,2.0,2,1,2,2,3,2,3,3,3,3,3,3,2,1,4,1,2,4
2884,2885,2,1,1,9,25,3,1,7,7,3,5,3,9,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,1,1,1,1,1,1,2,1,150,0,,,,0,3,0,2,,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,25.0,3,6.0,2,0,0,6,1.0,4,1,1,1,3,3,1,1,3.0,,1,1.0,,2,1,2,2,4,2,3,2,4,3,1,2,2,1,2,2,1,2
2885,2886,2,2,1,5,54,6,1,1,3,3,9,3,7,2,,2.0,3,,2,2,,2,2,2,2,2,1,2,2,2,2,2,8,1,1,2,1,2,1,1,2,2,480,5,,40.0,42.0,0,1,5,2,,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,54.0,6,8.0,4,2,0,5,5.0,6,2,1,1,1,2,1,1,3.0,,2,,5.0,2,2,2,2,4,4,4,3,3,4,1,2,2,1,4,1,2,3
2886,2887,2,1,1,9,51,6,1,7,7,3,8,6,1,2,,4.0,3,,2,2,,1,2,2,2,2,2,2,1,2,2,2,8,1,4,2,1,2,1,1,4,4,10,4,,70.0,35.0,8,10,7,3,,2,2,2,2,2,2,2,2,3,3,3,3,,,,,1,51.0,6,7.0,2,0,0,3,,4,2,1,3,1,1,2,2,,3.0,1,4.0,,2,2,4,4,3,3,3,2,4,2,2,2,1,2,1,1,2,4
2887,2888,2,2,2,3,65,10,1,1,4,7,7,4,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,3,2,2,630,25,,50.0,50.0,1,3,2,2,2.0,2,2,2,2,2,2,2,2,2,2,2,2,1.0,,,,1,65.0,10,5.0,2,0,0,6,4.0,2,1,1,3,3,2,2,1,2.0,,2,,3.0,2,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,4,3
2888,2889,2,1,2,5,94,1,5,2,4,7,1,3,4,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,5,1,2,1,1,1,1,5,0,0,,,,0,0,0,1,2.0,2,2,1,2,2,2,2,2,3,3,4,3,4.0,,,,1,94.0,1,5.0,3,1,0,4,,2,2,1,1,1,3,2,2,,3.0,1,3.0,,2,3,3,3,3,2,2,3,3,3,2,2,1,1,1,1,1,2
2889,2890,2,1,1,9,80,5,3,1,5,5,1,10,9,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,2,4,4,5,1,1,1,2,5,720,0,,,,0,0,0,3,,2,2,2,2,2,1,2,2,1,1,4,4,1.0,,,,1,80.0,5,4.0,2,0,1,5,5.0,3,1,1,2,3,1,1,2,,1.0,2,,1.0,1,2,2,2,4,4,3,3,2,4,2,5,2,2,5,2,3,5
2890,2891,2,2,1,3,38,11,2,1,5,1,3,6,9,1,3.0,,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,1,1,1,1,1,1,4,4,720,40,,,,1,0,5,2,,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,2,38.0,11,2.0,1,0,0,6,2.0,5,1,1,1,1,1,1,2,,1.0,1,1.0,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2891,2892,2,3,2,6,44,7,2,1,5,3,2,6,5,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,1,2,2,5,420,5,,35.0,36.0,0,0,8,5,2.0,2,2,2,2,2,2,2,2,4,3,3,4,1.0,,,,1,44.0,7,5.0,4,0,0,5,2.0,3,1,1,2,2,2,2,2,,3.0,1,4.0,,1,2,3,2,3,3,3,2,2,3,2,2,2,3,5,2,2,3
2892,2893,2,1,2,7,78,1,5,1,5,1,11,11,11,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,2,2,3,1,1,2,3,2,120,0,,,,0,7,7,3,2.0,2,2,2,2,2,2,2,2,3,3,4,3,1.0,,,,1,78.0,1,3.0,4,0,1,5,5.0,6,2,1,2,3,2,2,1,3.0,,1,4.0,,2,3,3,2,3,3,3,3,3,3,2,2,1,2,1,1,1,1
2893,2894,2,1,2,10,34,10,3,7,7,6,1,8,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,1,2,1,1,1,1,2,1,0,0,,,,0,0,0,1,2.0,2,2,1,2,2,1,2,2,3,3,3,4,,,,,1,34.0,10,5.0,1,0,1,4,,6,2,1,2,3,2,1,1,3.0,,1,1.0,,2,2,3,3,4,3,4,3,3,4,1,1,1,1,1,1,4,3
2894,2895,2,1,2,6,79,9,3,1,4,1,2,8,4,2,,2.0,3,,2,2,,3,3,3,3,3,3,3,3,3,3,3,7,1,1,1,1,2,1,2,6,2,600,20,,39.0,65.0,3,4,2,4,2.0,2,2,2,2,2,2,2,2,3,3,4,3,1.0,,,,1,79.0,9,4.0,1,0,0,6,4.0,3,1,1,5,5,5,1,1,2.0,,1,3.0,,2,5,5,5,5,5,5,5,5,5,2,5,4,4,4,2,2,3
2895,2896,2,1,2,5,6,12,4,4,4,3,5,2,7,2,,2.0,3,,1,2,,2,2,1,2,1,2,2,2,1,2,2,8,1,3,1,1,2,1,1,2,3,0,2,,44.0,10.0,1,0,0,2,2.0,2,2,2,2,2,2,2,2,3,3,4,3,5.0,,,,1,6.0,12,6.0,3,1,0,6,4.0,4,1,1,2,3,3,2,1,1.0,,2,,2.0,1,2,2,2,2,3,2,2,2,3,3,3,2,3,1,2,5,3
2896,2897,2,2,2,10,77,1,5,7,7,3,7,3,5,2,,2.0,3,,2,1,37.5,2,2,2,2,1,2,2,1,1,1,2,10,1,2,2,1,1,1,1,2,4,0,1,62.0,,,1,2,0,4,2.0,1,2,2,2,2,2,2,2,4,3,4,3,,,,,1,77.0,1,6.0,2,0,0,3,,2,1,1,2,3,2,1,1,3.0,,1,1.0,,2,1,3,2,3,2,2,2,2,2,2,2,2,1,1,2,2,2
2897,2898,2,1,1,9,29,8,3,7,7,3,6,7,10,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,5,2,2,1,1,2,1,1,2,2,150,0,,,,0,4,0,3,,2,2,2,2,2,2,2,2,2,3,3,1,,,,,1,29.0,8,10.0,2,0,0,2,,4,1,1,2,3,3,1,2,,3.0,1,3.0,,1,1,2,2,2,2,2,1,2,2,4,4,4,3,4,3,4,4
2898,2899,2,1,2,9,77,1,5,7,7,6,1,2,8,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,1,2,2,2,9,1,1,1,1,2,1,1,2,1,15,1,52.0,,,2,1,0,4,2.0,2,2,2,2,2,1,2,2,4,3,3,4,,,,,1,77.0,1,5.0,1,0,0,3,,2,1,1,2,3,3,1,2,,3.0,2,,2.0,2,2,3,2,3,2,3,3,2,3,2,3,1,3,1,2,1,2
2899,2900,2,1,1,7,79,9,1,1,5,1,1,5,4,2,,2.0,3,,1,2,,2,2,1,2,2,1,2,2,2,2,2,6,2,2,2,4,1,1,2,2,2,150,5,,59.0,47.0,0,3,8,4,,2,2,3,2,2,1,2,2,3,4,2,2,3.0,,,,1,79.0,9,4.0,1,0,0,5,2.0,2,1,1,2,4,3,1,1,3.0,,1,1.0,,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,4,2
2900,2901,2,1,1,5,13,12,4,1,6,1,9,10,4,2,,4.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,2,2,3,1,1,1,4,600,15,,65.0,25.0,1,1,5,4,,2,2,2,2,2,2,2,2,4,3,4,3,1.0,,,,1,13.0,12,3.0,1,0,0,4,,6,1,1,2,2,3,2,1,3.0,,1,3.0,,2,2,3,3,3,2,3,3,3,3,2,2,2,2,1,2,3,4
2901,2902,2,2,1,4,3,11,3,1,3,3,6,4,10,2,,2.0,3,,2,2,,2,2,2,2,1,2,2,2,3,2,2,7,1,4,1,1,2,1,2,2,2,60,3,,50.0,30.0,0,1,0,2,,2,2,2,2,3,2,1,2,4,4,4,4,3.0,,,,1,3.0,11,4.0,2,0,0,6,4.0,3,1,1,1,4,3,1,2,,3.0,2,,3.0,1,2,1,1,2,2,2,1,2,2,2,4,2,2,3,1,2,2
2902,2903,2,1,1,9,54,6,1,7,7,3,1,6,5,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,5,1,2,1,1,1,2,3,0,0,,,,0,0,0,2,,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,54.0,6,5.0,2,0,0,4,,3,2,1,2,3,1,1,1,3.0,,1,1.0,,1,1,2,2,2,2,2,3,3,2,1,3,2,1,1,1,2,1
