,SERIAL,JOURV7,DEVICE,SEXE,AGE2,DEP,REG12,AGGLO5,EMP,PCSI,MAR,A0_0,A0_1,A0_2,A1,A2,A2BIS,A3_0,A3_1,A3BIS,A4,A5Q,A6_0,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_8,A6_9,A6_10,B1Q,B2_0,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B3Q,B5Q,B5AQ,B5BQ,B5CQ,B6Q_0,B6Q_1,B6Q_2,C1C2,C3,C4_0,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C51,C52,C53,C54,C6_0,C6_1,C6_2,C6_3,C7,C7DEP,C7REG12,C8Q,C9QA,C9QB,C9QC,C10,C11,D60A,D60,D61,D62_0,D62_1,D62_2,D63,ALEAD65,D65,D66,ALEAD70,D70,D71,D67,D68_0,D68_1,D68_2,D68_3,D68_4,D68_5,D68_6,D68_7,D68_8,D69_0,D69_1,D69_2,D69_3,D69_4,D69_5,D69_6,D69_7
497,498,2,1,1,6,56,8,4,1,5,1,2,3,4,2,,2.0,3,,2,2,,2,2,1,2,2,2,2,2,2,2,1,7,1,2,4,1,2,1,1,6,3,300,20,,30.0,,0,0,4,3,,2,2,2,2,2,2,2,2,3,2,4,3,1.0,,,,1,56.0,8,2.0,1,0,0,3,,1,2,1,2,2,1,2,2,,3.0,2,,4.0,1,2,2,2,2,2,2,2,3,2,5,5,5,4,4,4,4,2
498,499,2,2,2,2,37,2,4,4,3,1,3,10,5,1,3.0,,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,2,1,1,1,1,1,2,1,150,2,,4.0,65.0,0,1,1,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,5.0,,,,1,37.0,2,2.0,2,0,0,6,1.0,6,1,1,2,2,2,2,2,,3.0,2,,5.0,2,2,3,2,3,2,2,2,3,2,2,2,2,1,1,3,2,2
499,500,2,1,1,6,75,1,5,1,3,3,6,9,3,1,3.0,,2,,2,2,,2,2,1,1,1,2,1,2,2,2,1,4,1,2,2,2,2,2,2,5,2,720,20,,40.0,50.0,3,2,5,2,,3,2,2,2,3,2,2,2,1,1,1,1,1.0,,,,1,75.0,1,6.0,5,2,0,5,5.0,4,2,2,3,2,1,2,2,,3.0,2,,1.0,1,2,2,3,2,2,3,2,3,4,4,5,4,4,2,4,4,4
500,501,2,1,2,3,6,12,4,6,8,3,1,8,3,2,,2.0,3,,1,2,,2,2,2,2,1,2,2,2,2,2,2,10,2,2,1,6,1,1,2,1,3,20,1,31.0,,,0,0,0,2,2.0,2,2,2,2,2,2,2,2,2,2,3,3,,,,,1,6.0,12,1.0,2,0,0,7,,6,1,1,1,4,3,2,2,,3.0,2,,1.0,2,1,3,3,4,3,3,3,4,4,2,2,4,2,2,4,4,1
501,502,2,1,2,9,92,1,5,4,5,1,1,8,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,3,1,1,1,1,1,2,2,60,1,64.0,,,2,1,0,5,2.0,2,2,2,2,2,2,2,2,4,3,4,4,5.0,,,,1,92.0,1,2.0,1,0,0,5,2.0,5,1,1,2,3,2,1,1,3.0,,1,5.0,,2,1,2,2,3,3,3,2,4,4,2,4,1,2,2,2,3,3
502,503,2,2,2,2,70,3,1,6,8,2,1,2,7,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,3,2,2,2,9,1,2,1,1,2,1,1,2,2,60,1,50.0,,,2,3,0,3,2.0,2,2,2,2,2,2,2,2,4,3,3,4,,,,,1,70.0,3,4.0,6,3,0,1,,6,1,1,3,2,1,2,1,2.0,,1,2.0,,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
503,504,2,2,2,3,94,1,5,6,8,7,1,9,2,2,,2.0,3,,2,2,,2,1,1,2,2,1,2,2,2,2,2,10,2,2,6,4,4,1,1,1,3,0,0,,,,0,0,0,2,2.0,3,2,2,2,2,3,3,2,3,1,2,3,,,,,1,94.0,1,2.0,2,1,0,6,4.0,6,2,1,3,2,2,2,1,3.0,,1,2.0,,2,2,2,3,3,2,4,3,4,3,3,2,3,1,2,1,2,1
504,505,2,2,1,4,53,7,1,1,4,3,3,5,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,2,4,600,0,,,,0,0,50,3,,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,53.0,7,6.0,4,2,0,5,2.0,4,2,1,2,3,3,2,1,3.0,,1,4.0,,2,2,3,4,2,4,4,3,3,4,5,5,5,5,5,5,5,5
505,506,2,1,2,7,28,2,2,6,8,3,8,1,4,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,2,2,3,1,2,1,2,3,3,210,2,,40.0,,0,1,0,5,2.0,2,2,2,2,2,2,2,2,4,3,4,3,,,,,1,28.0,2,5.0,3,0,0,4,,6,2,2,2,3,3,1,1,3.0,,1,5.0,,2,2,2,3,4,4,3,3,2,4,2,3,2,2,5,2,2,4
506,507,2,2,2,5,94,1,5,2,5,3,1,9,8,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,1,1,1,1,1,1,1,1,180,3,,45.0,35.0,0,0,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,4.0,,,,1,94.0,1,2.0,3,1,0,3,,6,2,1,4,1,1,2,1,3.0,,1,4.0,,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1
507,508,2,1,2,6,24,9,1,1,4,3,2,7,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,5,1,4,2,1,1,1,1,2,4,780,5,,50.0,28.0,1,1,1,4,2.0,2,2,2,2,2,2,2,2,4,3,4,4,2.0,,,,1,24.0,9,7.0,5,1,0,5,2.0,4,1,1,2,3,2,2,2,,3.0,2,,2.0,2,2,3,2,2,3,3,2,3,3,4,3,5,3,5,3,5,5
508,509,2,2,1,1,55,6,2,1,2,1,1,10,7,2,,2.0,3,,1,2,,2,2,2,1,2,2,2,2,2,2,2,7,1,1,1,1,4,4,4,4,3,600,5,,22.0,22.0,4,1,4,1,,2,2,2,2,2,2,2,2,2,1,4,4,1.0,,,,1,55.0,6,5.0,3,2,0,4,,2,1,1,1,4,3,1,1,3.0,,1,1.0,,2,1,3,2,4,4,3,4,2,4,1,4,2,1,1,2,1,1
509,510,2,1,2,2,38,11,2,2,3,7,1,3,4,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,1,2,2,2,7,1,2,1,1,1,1,2,2,2,480,1,8.0,,,1,3,2,2,2.0,2,2,2,2,2,2,2,2,3,3,2,4,1.0,3.0,,,1,38.0,11,3.0,3,1,0,6,5.0,6,2,1,2,3,2,2,1,3.0,,1,2.0,,1,3,2,2,3,1,2,3,3,3,3,4,4,4,4,4,3,3
510,511,2,1,1,10,25,3,4,7,7,3,8,1,3,2,,2.0,3,,2,2,,2,2,2,2,2,1,2,2,2,2,2,9,1,2,1,1,1,1,1,2,1,270,1,64.0,,,2,0,0,3,,1,1,2,2,2,2,3,2,4,4,4,4,,,,,1,25.0,3,5.0,2,0,0,6,5.0,3,1,2,2,4,2,2,2,,3.0,2,,4.0,1,1,2,2,3,2,2,1,3,3,1,5,2,3,1,3,3,3
511,512,2,1,2,3,29,8,1,1,5,7,1,7,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,1,2,1,1,1,2,3,2,60,0,,,,2,1,0,4,2.0,2,2,2,2,2,2,2,2,3,3,2,4,1.0,,,,1,29.0,8,5.0,4,2,0,5,5.0,6,2,1,1,1,2,1,1,1.0,,1,1.0,,2,2,2,2,3,2,3,2,2,2,1,2,1,2,1,1,3,1
512,513,2,1,2,4,60,5,2,1,4,7,3,4,8,1,2.0,,3,,2,2,,1,2,2,2,1,2,2,2,2,2,2,8,2,2,1,5,1,1,1,2,2,90,0,,,,0,0,6,2,2.0,2,2,2,2,3,2,2,2,4,2,2,4,1.0,3.0,,,1,60.0,5,8.0,4,2,0,6,5.0,3,1,1,2,2,1,2,2,,3.0,2,,4.0,2,2,2,2,2,2,2,2,2,2,5,3,5,2,5,5,5,2
513,514,2,2,2,4,78,1,5,4,8,3,1,3,5,2,,2.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,9,1,1,4,1,1,3,1,2,1,0,1,30.0,,,0,2,0,3,2.0,2,2,1,2,2,2,2,2,3,3,3,2,,,,,1,78.0,1,3.0,2,2,0,5,4.0,4,2,1,2,4,1,1,2,,2.0,1,2.0,,2,2,2,3,4,4,4,3,3,3,3,1,1,2,5,2,1,1
514,515,2,1,2,10,51,6,4,7,7,3,1,3,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,2,2,1,2,2,1,1,3,2,300,2,,30.0,7.0,0,2,0,2,2.0,2,2,2,2,2,2,2,2,3,4,3,3,,,,,1,51.0,6,8.0,2,0,0,5,5.0,4,2,1,2,4,1,2,2,,3.0,2,,1.0,2,1,3,3,4,3,3,2,4,3,3,2,2,2,1,2,4,1
515,516,2,2,2,4,66,10,4,2,5,1,9,11,2,1,2.0,,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,1,1,1,1,1,1,0,0,,,,0,0,0,4,2.0,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,66.0,10,,1,0,0,5,5.0,6,1,1,2,1,1,2,2,,2.0,2,,4.0,1,1,1,2,4,1,2,2,2,4,1,1,1,1,2,1,1,1
516,517,2,2,2,5,62,5,4,4,5,2,1,2,5,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,1,1,1,2,1,1,1,1,270,12,,14.0,65.0,0,6,0,3,2.0,2,2,2,2,2,2,2,2,4,3,4,4,6.0,,,,1,62.0,5,6.0,4,2,0,4,,6,2,1,3,3,1,1,1,3.0,,1,5.0,,2,1,3,3,3,3,3,2,3,3,3,5,2,5,2,3,5,4
517,518,2,1,1,4,59,5,4,1,5,7,3,2,11,2,,2.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,2,1,3,1,1,1,2,2,120,10,,,,0,0,0,2,,2,2,2,2,2,2,2,2,3,3,3,3,3.0,,,,1,59.0,5,5.0,4,2,0,5,5.0,3,1,1,2,3,1,2,2,,3.0,2,,1.0,2,3,1,3,3,2,3,3,2,4,1,3,1,1,1,1,4,3
518,519,2,1,2,6,24,9,1,4,5,3,1,5,10,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,5,1,3,1,1,1,3,1,600,20,,,,1,0,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,6.0,,,,1,24.0,9,5.0,3,1,0,3,,6,1,1,2,3,2,2,2,,3.0,2,,3.0,2,2,3,2,3,3,3,2,2,3,2,2,3,2,2,2,3,4
519,520,2,1,2,10,57,6,4,7,7,3,8,1,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,1,1,1,1,2,2,0,0,,,,1,0,0,3,2.0,2,2,2,2,2,3,1,2,4,4,4,4,,,,,1,57.0,6,4.0,2,0,2,5,2.0,4,2,1,2,3,2,2,1,3.0,,1,3.0,,2,1,1,2,3,1,3,1,2,3,1,2,1,1,1,2,3,2
520,521,2,2,2,3,50,4,1,1,5,3,2,7,9,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,2,3,2,2,2,2,2,4,420,0,,,,0,0,2,3,2.0,2,2,2,2,2,2,2,2,4,4,4,4,1.0,3.0,,,1,50.0,4,6.0,4,2,0,5,5.0,4,2,1,3,3,2,1,2,,2.0,2,,3.0,1,2,2,2,2,2,2,2,2,3,4,4,5,4,5,3,4,5
521,522,2,1,1,9,57,6,2,4,5,3,8,1,3,2,,2.0,1,,1,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,1,2,1,3,1,2,150,2,,66.0,60.0,0,2,0,3,,2,2,2,2,2,2,2,2,4,4,4,4,5.0,,,,1,57.0,6,3.0,1,0,0,4,,2,1,1,3,1,1,1,2,,2.0,1,4.0,,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,2,3,2
522,523,2,2,1,2,44,7,4,1,3,1,2,1,4,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,1,1,1,1,1,1,1,1,0,0,,,,0,0,0,3,,2,2,2,3,2,2,2,2,4,4,4,3,2.0,,,,1,44.0,7,4.0,1,0,0,6,1.0,3,1,1,2,4,4,2,2,,1.0,2,,4.0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
523,524,2,1,2,2,17,9,3,1,3,3,1,8,6,2,,1.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,1,1,1,1,1,1,40,4,,30.0,25.0,1,2,1,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,3.0,,,,1,17.0,9,4.0,3,1,0,6,1.0,4,1,1,1,4,2,2,1,1.0,,2,,1.0,2,3,3,4,4,3,3,4,4,4,1,2,1,2,1,2,2,2
524,525,2,2,1,5,95,1,5,1,4,3,9,1,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,9,1,2,1,2,1,1,1,2,1,0,0,,,,0,1,0,3,,2,2,2,2,2,2,2,2,4,4,4,4,3.0,,,,1,95.0,1,7.0,4,2,0,6,5.0,6,1,1,1,3,3,1,1,3.0,,1,1.0,,2,1,2,2,3,2,3,2,2,2,2,3,3,2,1,2,2,3
525,526,2,2,2,4,78,1,5,1,4,3,8,4,3,1,2.0,,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,2,1,2,2,1,1,2,3,150,5,,35.0,60.0,0,2,0,4,1.0,1,2,2,2,2,2,2,2,2,3,4,3,4.0,,,,1,78.0,1,3.0,5,3,0,5,1.0,6,2,1,2,2,1,2,1,3.0,,2,,4.0,2,1,2,2,3,3,3,3,2,3,2,3,3,1,1,1,2,2
526,527,2,1,2,10,69,11,4,7,7,3,1,6,3,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,3,1,1,1,1,1,1,0,0,,,,1,1,0,2,2.0,2,1,2,2,2,2,1,2,2,3,3,3,,,,,1,69.0,11,5.0,2,0,2,6,3.0,2,1,1,2,4,2,1,2,,1.0,2,,2.0,2,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,1
527,528,2,1,2,6,11,10,2,6,8,7,9,2,3,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,1,1,1,3,1,1,2,1,150,0,,,,1,0,0,4,2.0,2,2,2,2,2,2,2,2,4,2,2,4,,,,,1,11.0,10,6.0,5,2,0,3,,6,1,1,1,1,1,1,1,3.0,,1,3.0,,2,2,3,2,3,3,3,1,2,2,1,1,1,1,1,1,1,1
528,529,2,2,2,2,83,12,2,4,5,3,1,8,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,1,1,1,1,1,1,60,0,,,,0,1,0,2,2.0,2,2,2,2,2,2,2,2,2,2,4,3,6.0,,,,1,83.0,12,3.0,3,1,0,3,,6,2,1,3,2,2,2,2,,3.0,2,,4.0,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
529,530,2,1,1,10,78,1,5,7,7,3,3,4,8,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,4,1,2,1,4,1,1,1,2,3,135,0,,,,0,0,0,2,,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,78.0,1,5.0,2,0,2,6,2.0,3,1,1,2,4,3,2,2,,3.0,2,,2.0,1,1,1,1,2,1,1,1,2,2,2,4,2,3,4,3,4,3
530,531,2,2,2,3,87,9,4,1,4,2,4,8,2,2,,2.0,3,,2,2,,2,2,2,2,1,1,2,2,2,2,2,7,1,2,1,2,1,1,2,6,2,660,10,,,40.0,1,7,5,2,2.0,2,2,1,2,2,2,2,2,4,4,4,4,1.0,,,,1,87.0,9,4.0,2,0,0,6,2.0,2,1,1,1,4,3,1,2,,3.0,2,,2.0,2,2,3,3,3,3,3,2,3,3,2,3,2,3,1,2,3,2
531,532,2,1,2,5,95,1,5,1,3,3,1,2,4,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,4,1,1,1,1,1,1,2,0,2,,33.0,33.0,0,1,0,2,2.0,2,2,2,2,2,2,2,2,3,4,4,4,3.0,,,,1,95.0,1,4.0,2,0,0,6,1.0,2,1,1,2,2,3,2,2,,3.0,2,,3.0,2,1,3,3,4,3,4,1,3,3,4,4,4,4,4,4,4,3
532,533,2,2,2,2,56,8,3,4,8,1,10,3,7,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,3,4,1,1,2,4,2,1,5,90,20,,30.0,35.0,1,0,0,2,2.0,2,2,2,2,2,2,2,2,3,3,3,3,,,,,1,56.0,8,5.0,2,0,0,5,5.0,2,1,1,2,3,2,2,2,,3.0,2,,2.0,2,1,2,2,2,2,2,2,2,3,5,3,5,4,5,5,5,5
533,534,2,1,2,1,64,9,4,8,8,1,2,3,5,2,,2.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,3,1,1,1,1,1,2,2,0,0,,,,0,0,0,2,2.0,2,2,2,2,2,2,2,2,3,3,4,2,,,,,1,64.0,9,6.0,4,1,0,4,,4,1,1,2,3,3,2,1,3.0,,1,4.0,,2,1,3,3,3,2,3,2,4,2,2,3,3,2,2,1,1,3
534,535,2,2,2,3,45,2,1,5,8,2,1,5,7,2,,4.0,3,,1,2,,2,2,2,2,2,2,3,2,2,2,2,10,1,1,1,1,1,1,1,1,1,60,10,,54.0,54.0,1,1,0,4,2.0,1,2,2,2,2,2,2,2,4,3,4,3,,,,,1,45.0,2,4.0,2,2,0,3,,6,1,1,4,4,4,2,1,3.0,,1,4.0,,2,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1
535,536,2,2,2,2,35,8,4,1,4,2,1,8,3,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,1,6,1,2,6,2,180,4,,,,0,1,15,2,2.0,2,2,2,2,2,2,2,2,2,2,1,3,1.0,8.0,,,1,35.0,8,3.0,2,0,0,6,3.0,3,1,1,2,2,3,1,1,3.0,,1,2.0,,2,3,3,4,3,3,4,3,3,3,2,3,2,2,1,3,4,2
536,537,2,1,2,7,44,7,2,5,8,3,6,2,5,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,2,2,1,2,9,1,1,1,1,1,1,1,1,1,240,2,,30.0,30.0,1,1,0,4,2.0,2,2,2,1,2,1,1,2,4,3,4,3,,,,,1,44.0,7,4.0,2,0,0,6,2.0,4,1,1,2,2,1,1,1,2.0,,1,3.0,,2,2,3,3,3,3,3,3,4,3,2,2,2,2,2,3,2,3
537,538,2,1,2,1,95,1,1,8,8,1,3,4,5,1,1.0,,1,,2,2,,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,4,1,3,5,2,120,20,,,18.0,5,0,0,2,2.0,2,2,2,2,2,2,1,2,2,3,4,1,,,,,1,95.0,1,6.0,7,0,0,5,1.0,6,2,1,1,3,2,1,2,,3.0,2,,3.0,2,1,2,3,3,2,2,2,4,3,3,5,3,2,4,2,5,3
538,539,2,1,2,2,62,5,4,1,5,7,3,10,7,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,2,1,1,6,2,0,2,,24.0,,0,1,7,4,2.0,2,2,2,2,2,2,2,2,3,3,4,4,1.0,,,,1,62.0,5,3.0,2,0,0,5,4.0,6,1,1,2,1,2,1,1,3.0,,1,3.0,,2,3,4,4,4,4,4,2,4,4,1,1,2,1,5,1,1,1
539,540,2,3,2,6,42,11,4,1,5,5,1,4,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,2,2,1,2,1,1,1,2,60,0,,,,0,1,0,4,2.0,2,2,1,2,2,1,2,2,2,2,2,3,6.0,,,,1,42.0,11,3.0,2,1,0,3,,6,2,1,2,3,2,2,2,,3.0,2,,5.0,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3
540,541,2,1,2,4,59,5,3,2,4,3,6,8,3,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,2,1,1,1,2,1,2,2,1,150,6,,,45.0,1,0,2,4,2.0,2,2,2,2,2,2,2,2,4,4,4,4,8.0,,,,1,59.0,5,6.0,4,2,0,6,3.0,4,1,1,2,4,3,1,1,3.0,,2,,1.0,2,2,3,2,3,2,3,2,3,2,3,2,3,2,2,3,3,2
541,542,2,3,2,6,30,10,1,4,4,2,5,3,8,2,,2.0,3,,2,2,,2,2,2,2,1,2,2,2,2,2,2,7,3,3,4,4,2,1,1,2,3,330,6,,,,3,2,1,2,2.0,2,2,2,2,2,2,2,2,3,3,3,3,5.0,,,,1,30.0,10,5.0,4,2,0,6,4.0,3,1,1,2,3,3,2,2,,3.0,2,,1.0,2,2,2,2,3,2,2,3,2,2,4,3,3,2,4,3,4,3
542,543,2,1,2,6,91,1,3,1,5,3,3,1,10,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,0,4,,70.0,,0,1,0,5,2.0,2,2,2,2,2,2,2,2,4,4,4,4,6.0,,,,1,91.0,1,4.0,4,2,0,5,5.0,6,2,1,2,2,2,1,1,1.0,,1,3.0,,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1
